"Month","Year","AirParticle","AverageValue"
9,2021,"NI_DX_avg",22.2276261597222
9,2021,"NOasNI_avg",33.3041204513889
10,2021,"PM10_avg",18.8493360215054
10,2021,"NI_OX_avg",9.70744905241935
10,2021,"NI_DX_avg",23.8661022916667
10,2021,"NOasNI_avg",38.7506490927419
11,2021,"PM10_avg",16.4710381944444
11,2021,"NI_OX_avg",17.0647741388889
11,2021,"NI_DX_avg",31.6072163472222
11,2021,"NOasNI_avg",57.7717780069444
12,2021,"PM10_avg",17.6786008064516
12,2021,"NI_OX_avg",12.6701237365591
12,2021,"NI_DX_avg",25.5219472782258
12,2021,"NOasNI_avg",44.9491987231183
1,2022,"PM10_avg",22.5920719086022
1,2022,"NI_OX_avg",18.5513619758065
1,2022,"NI_DX_avg",34.1231527150538
1,2022,"NOasNI_avg",62.5681769623656
2,2022,"PM10_avg",21.0134382440476
2,2022,"NI_OX_avg",10.4060621354167
2,2022,"NI_DX_avg",24.3073359002976
2,2022,"NOasNI_avg",40.2795229761905
3,2022,"PM10_avg",26.4633561827957
3,2022,"NI_OX_avg",6.12193225806452
3,2022,"NI_DX_avg",24.3601959274194
3,2022,"NOasNI_avg",33.7461397715054
4,2022,"PM10_avg",19.4997763888889
4,2022,"NI_OX_avg",6.70995181944444
4,2022,"NI_DX_avg",21.0656245
4,2022,"NOasNI_avg",31.3540727916667
5,2022,"PM10_avg",17.6753528225806
5,2022,"NI_OX_avg",7.34168352822581
5,2022,"NI_DX_avg",20.7761430981183
5,2022,"NOasNI_avg",32.0312212298387
6,2022,"PM10_avg",18.5980041666667
6,2022,"NI_OX_avg",6.24117788194444
6,2022,"NI_DX_avg",18.2215659236111
6,2022,"NOasNI_avg",27.7914032916667
7,2022,"PM10_avg",15.8617809139785
7,2022,"NI_OX_avg",6.66734662634409
7,2022,"NI_DX_avg",18.7617160551075
7,2022,"NOasNI_avg",28.9876355443548
8,2022,"PM10_avg",17.6286028225806
8,2022,"NI_OX_avg",6.68711825268817
8,2022,"NI_DX_avg",20.2170706787634
8,2022,"NOasNI_avg",30.4850293884409
9,2022,"PM10_avg",14.9687111111111
9,2022,"NI_OX_avg",7.75049608333333
9,2022,"NI_DX_avg",21.5608340625
9,2022,"NOasNI_avg",33.4737548194444
10,2022,"PM10_avg",18.5175302419355
10,2022,"NI_OX_avg",8.06786905241935
10,2022,"NI_DX_avg",22.3413573252688
10,2022,"NOasNI_avg",34.710642641129
11,2022,"PM10_avg",19.0509215277778
11,2022,"NI_OX_avg",10.0318975486111
11,2022,"NI_DX_avg",22.6630831111111
11,2022,"NOasNI_avg",38.0486453194444
12,2022,"PM10_avg",21.1843057795699
12,2022,"NI_OX_avg",15.7758858602151
12,2022,"NI_DX_avg",29.3679083198925
12,2022,"NOasNI_avg",53.5572616532258
1,2023,"PM10_avg",20.1226713709677
1,2023,"NI_OX_avg",12.6567787903226
1,2023,"NI_DX_avg",27.2711917473118
1,2023,"NOasNI_avg",46.6779807258064
2,2023,"PM10_avg",20.4835587797619
2,2023,"NI_OX_avg",11.8682194940476
2,2023,"NI_DX_avg",28.05492703125
2,2023,"NOasNI_avg",46.2449115922619
3,2023,"PM10_avg",20.3447412634409
3,2023,"NI_OX_avg",7.92853190860215
3,2023,"NI_DX_avg",22.5086886626344
3,2023,"NOasNI_avg",34.6669367540323
4,2023,"PM10_avg",19.7205388888889
4,2023,"NI_OX_avg",6.1016235625
4,2023,"NI_DX_avg",20.7225685
4,2023,"NOasNI_avg",30.0785150833333
5,2023,"PM10_avg",19.2447641129032
5,2023,"NI_OX_avg",5.95719306451613
5,2023,"NI_DX_avg",18.6701478897849
5,2023,"NOasNI_avg",27.8051153965054
6,2023,"PM10_avg",22.66879375
6,2023,"NI_OX_avg",5.35520598611111
6,2023,"NI_DX_avg",18.3987211805556
6,2023,"NOasNI_avg",26.6097075277778
7,2023,"PM10_avg",19.2239838709677
7,2023,"NI_OX_avg",6.92571174731183
7,2023,"NI_DX_avg",14.7685589247312
7,2023,"NOasNI_avg",25.3878347446237
8,2023,"PM10_avg",14.2988447580645
8,2023,"NI_OX_avg",8.29580922043011
8,2023,"NI_DX_avg",18.6637645900538
8,2023,"NOasNI_avg",31.378402547043
9,2023,"PM10_avg",18.7784930555556
9,2023,"NI_OX_avg",5.80271640972222
9,2023,"NI_DX_avg",21.4189441111111
9,2023,"NOasNI_avg",30.3124708680556
10,2023,"PM10_avg",15.3825860215054
10,2023,"NI_OX_avg",8.18797471774194
10,2023,"NI_DX_avg",22.037811733871
10,2023,"NOasNI_avg",34.5925302284946
11,2023,"PM10_avg",16.3395131944444
11,2023,"NI_OX_avg",10.8425243611111
11,2023,"NI_DX_avg",22.6730098888889
11,2023,"NOasNI_avg",39.2973507569444
12,2023,"PM10_avg",18.2162325268817
12,2023,"NI_OX_avg",11.3158111290323
12,2023,"NI_DX_avg",21.1698148252688
12,2023,"NOasNI_avg",38.5204823521505
